product_name	brands	nutrition_grade_fr	pnns_groups_1	energy_100g	fat_100g	saturated_fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	nutrition_score_fr_100g	sel_100g
Haday Superior Light Soy Sauce	Foshan Hai Tian Flavouring	D	a renseigner	77.91586998087953	2.2700000000000005	0.0	11.469999999999999	7.8	0.0	7.9	11.0	14.7
Superior Light Soy Sauce	Haday	D	a renseigner	77.91586998087953	2.2700000000000005	0.001	11.469999999999999	7.8	0.0	7.9	11.0	14.7
Boisson Au Yuzu	San Su	C	a renseigner	70.02868068833652	0.5199999999999999	0.0	15.900000000000002	17.8	0.0	0.0	3.0	0.0
SweetLeaf, Liquid Stevia, vanilla cream	United American Industries Inc	B	a renseigner	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Veloute Nature	Danone	B	a renseigner	75.04780114722753	4.167	1.9	5.196000000000001	6.3	0.0	4.4	0.0	0.11
Canola Oil	Mazola	B	a renseigner	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
Les Poissons Sauvages - Le Haddock	Armoric	D	poisson viande oeufs	86.75908221797323	0.2	0.1	0.7	0.3	0.0	20.2	11.0	3.0
Bulk Deal 6 X Aqua Coco Active	Aquarius	B	a renseigner	21.03250478011472	0.15699999999999997	0.0	7.839999999999999	4.4	0.0	0.0	0.0	0.06
Dr. Pepper Soda Diet	Dr pepper	B	a renseigner	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.05
Chocolate Almonds	SugarSin	D	a renseigner	38.95793499043977	3.25	18.0	25.03	38.0	8.0	9.0	17.0	1.0
Bonne nuit	Higher Living	B	boissons	4.063097514340344	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Allure Mango	Alō Allure	E	boissons	70.02868068833652	0.0	0.0	18.0	18.0	0.0	0.0	30.0	76.2
Sauce Tomate Basilico	Shneider's	B	a renseigner	69.07265774378585	3.4300000000000006	0.6	5.97	5.5	2.0	1.7	2.0	1.1
Mint Citrus Flavoured Green Tea Blend	Teavana Starbucks	B	a renseigner	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
MTR Pav Bhaji (10.56 Oz)	Mtr	C	a renseigner	96.08030592734225	6.720000000000001	4.0	5.9799999999999995	0.6	0.67	2.0	8.0	1.15
Boisson Vivaloe Mangue	Vivaloe	B	a renseigner	28.91969407265774	0.15499999999999997	0.0	6.426	7.0	0.1	0.0	1.0	0.005
Compote de pomme	Gogo squeez	B	a renseigner	66.92160611854685	1.0490000000000002	0.0	12.65	12.0	0.4	0.4	2.0	0.0
Coconut Liquid Water Enhancer, Original	Central lechera asturiana	B	a renseigner	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Liquid Water Enhancer	Central lechera asturiana	B	a renseigner	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Jugo De Aloe Vera 500ML Original Okf Pla	OKF	B	a renseigner	20.076481835564053	0.11000000000000001	0.0	3.0400000000000005	3.0	0.0	0.0	0.0	0.0
Vera Aloe Drink Mango	Okf	B	a renseigner	20.076481835564053	0.11000000000000001	0.0	3.0400000000000005	3.0	0.0	0.0	0.0	0.0
Pure Coconut Water Lemonade	VitaCoco, All Market Inc.	B	a renseigner	28.91969407265774	0.0	0.0	7.08	6.25	0.05	0.42	1.0	0.03048
Natural Coconut Water with Pineapple	Vita Coco	D	boissons	23.900573613766728	0.0	0.0	6.0	6.0	0.01	0.0	8.0	0.03
Cider Päron	Ikea	E	boissons	40.86998087954111	0.0	0.0	9.9	9.9	0.004	0.0	13.0	0.01
Volvic Citron	Volvic	C	boissons	5.019120458891013	0.05	0.01	0.79	1.0	0.0	0.01	2.0	0.01
Gäddsas	Ikea	C	matieres grasses et les sauces	99.90439770554492	6.65	6.0	6.39	1.5	0.0	0.9	9.0	0.83
Ekologiskt Iste talllsmak	Ikea	D	boissons	19.120458891013385	0.0	0.0	4.6	4.5	0.0	0.0	6.0	0.0
Légumes Et Mini Pâtes	Royco	C	a renseigner	53.05927342256214	2.9699999999999998	1.0	4.2	1.8	0.3	0.8	3.0	0.72
Yaourt Lait De Brebis	Yoplait	B	a renseigner	68.11663479923519	3.5940000000000003	2.3	5.1240000000000006	4.8	0.0	5.5	0.0	0.1
Glögg Saftglögg	Ikea	C	a renseigner	76.0038240917782	0.8800000000000001	0.0	15.12	19.0	0.0	0.0	4.0	0.01
Lait Sans Lactose	Milbona	B	a renseigner	45.88910133843212	1.535	0.9	4.799999999999999	4.7	0.0	3.2	0.0	0.14
Dryck Julmust	Ikéa	E	boissons	38.718929254302104	0.0	0.0	9.3	9.3	0.0	0.0	13.0	0.0
Sauce Ikea	Ikea	C	a renseigner	82.93499043977054	4.050000000000001	4.0	9.580000000000002	1.0	0.0	0.9	7.0	0.7
Cider Äpple	Ikea	E	boissons	40.86998087954111	0.0	0.0	9.9	9.9	0.004	0.0	13.0	0.01
